City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
letlhakeng,-24.0944,25.0298,70.59,70.0,59.0,1.88,BW,1613080939.0
kifri,34.6959,44.9661,58.17,51.0,0.0,6.78,IQ,1613080939.0
belmonte,-15.8631,-38.8828,78.8,73.0,40.0,8.05,BR,1613080939.0
mende,44.6667,3.5,32.49,98.0,86.0,1.32,FR,1613080939.0
grand gaube,-20.0064,57.6608,80.01,70.0,96.0,4.0,MU,1613080939.0
petrykivka,48.7298,34.6351,42.8,93.0,75.0,8.95,UA,1613080939.0
berlevag,70.8578,29.0864,24.8,74.0,75.0,17.27,NO,1613080940.0
kenai,60.5544,-151.2583,30.99,74.0,90.0,17.27,US,1613080940.0
lochearn,39.3407,-76.7222,32.0,86.0,100.0,6.89,US,1613080821.0
hefei,31.8639,117.2808,48.99,93.0,75.0,6.71,CN,1613080940.0
riberalta,-10.9833,-66.1,82.4,69.0,75.0,2.39,BO,1613080940.0
kamaishi,39.2667,141.8833,29.43,87.0,0.0,5.48,JP,1613080941.0
carpinteria,34.3989,-119.5185,64.0,64.0,89.0,5.3,US,1613080941.0
cortez,37.3489,-108.5859,51.8,30.0,1.0,11.5,US,1613080942.0
yulara,-25.2406,130.9889,75.2,100.0,75.0,10.36,AU,1613080942.0
chadan,51.2833,91.5833,-12.51,84.0,73.0,1.07,RU,1613080942.0
worthing,50.8145,-0.3713,33.01,83.0,70.0,3.0,GB,1613080942.0
along,28.1667,94.7667,51.39,57.0,0.0,1.72,IN,1613080942.0
kudal,16.0333,73.6833,67.95,45.0,20.0,1.36,IN,1613080943.0
bonavista,48.6499,-53.1147,25.0,93.0,100.0,12.66,CA,1613080943.0
lamas,-6.4167,-76.5333,86.0,62.0,75.0,6.91,PE,1613080943.0
vardo,70.3705,31.1107,14.0,85.0,92.0,18.41,NO,1613080943.0
concepcion del oro,24.6333,-101.4167,68.31,18.0,0.0,17.78,MX,1613080943.0
mount gambier,-37.8333,140.7667,59.0,82.0,90.0,9.22,AU,1613080943.0
san juan,-31.5375,-68.5364,87.3,25.0,47.0,11.43,AR,1613080943.0
doctor juan manuel frutos,-25.3667,-55.8,72.61,85.0,100.0,2.71,PY,1613080944.0
hofn,64.2539,-15.2082,40.28,70.0,100.0,17.9,IS,1613080944.0
dudinka,69.4058,86.1778,-16.37,88.0,94.0,4.65,RU,1613080944.0
murray bridge,-35.1167,139.2667,62.01,73.0,43.0,5.01,AU,1613080944.0
neryungri,56.6709,124.6491,1.87,92.0,100.0,6.04,RU,1613080944.0
vilyuysk,63.7553,121.6247,-17.39,88.0,100.0,2.51,RU,1613080944.0
walvis bay,-22.9575,14.5053,70.0,83.0,33.0,4.61,NA,1613080945.0
bacungan,9.9106,118.7022,77.0,88.0,20.0,2.3,PH,1613080945.0
biggar,55.6167,-3.5167,28.0,82.0,0.0,3.0,GB,1613080785.0
wala,4.578,12.3154,73.45,58.0,73.0,4.72,CM,1613080950.0
hoquiam,46.9809,-123.8893,34.0,86.0,90.0,19.57,US,1613080733.0
mayo,38.8876,-76.5119,34.0,80.0,90.0,6.91,US,1613080950.0
geraldton,-28.7667,114.6,57.2,88.0,0.0,9.22,AU,1613080951.0
gornopravdinsk,60.05,69.9,-24.12,86.0,22.0,3.71,RU,1613080951.0
manicore,-5.8092,-61.3003,75.81,96.0,100.0,1.32,BR,1613080951.0
mayumba,-3.432,10.6554,79.47,85.0,100.0,6.6,GA,1613080951.0
zhaoyuan,37.3592,120.3964,42.01,99.0,61.0,8.23,CN,1613080951.0
lufilufi,-13.8745,-171.5986,86.0,79.0,75.0,10.36,WS,1613080951.0
marzuq,14.4,46.4667,56.75,35.0,6.0,3.11,YE,1613080951.0
guaiba,-30.1139,-51.325,80.6,61.0,20.0,17.27,BR,1613080952.0
nefteyugansk,61.0998,72.6035,-20.2,76.0,0.0,6.71,RU,1613080952.0
kholmogory,64.2229,41.656,-16.6,76.0,75.0,2.24,RU,1613080952.0
juneau,58.3019,-134.4197,26.6,24.0,20.0,24.16,US,1613080952.0
sokoni,-6.4333,39.55,81.66,75.0,100.0,14.05,TZ,1613080952.0
sola,-13.8833,167.55,80.6,94.0,75.0,6.85,VU,1613080952.0
mandan,46.8267,-100.8896,-7.6,70.0,90.0,13.8,US,1613080952.0
abha,18.2164,42.5053,55.4,87.0,0.0,2.95,SA,1613080953.0
kourou,5.1552,-52.6478,75.2,100.0,90.0,3.44,GF,1613080953.0
kokkola,63.8385,23.1307,12.0,84.0,0.0,3.44,FI,1613080953.0
novorudnyy,51.5026,58.1873,19.4,86.0,90.0,4.47,RU,1613080953.0
praya,14.9215,-23.5087,71.6,68.0,0.0,16.11,CV,1613080953.0
bafoulabe,13.8065,-10.8321,86.07,13.0,96.0,3.38,ML,1613080954.0
nyurba,63.2842,118.3319,-18.71,87.0,93.0,4.7,RU,1613080954.0
gogrial,8.5332,28.1004,76.93,18.0,44.0,6.22,SS,1613080954.0
am timan,11.0297,20.2827,73.33,18.0,0.0,7.11,TD,1613080954.0
hailun,47.45,126.9333,21.25,97.0,40.0,8.79,CN,1613080954.0
santa cruz,-17.8,-63.1667,69.8,94.0,90.0,11.5,BO,1613080857.0
kawalu,-7.3817,108.2082,72.61,90.0,99.0,1.1,ID,1613080955.0
salalah,17.0151,54.0924,71.6,53.0,0.0,4.61,OM,1613080955.0
otane,-39.8833,176.6333,71.33,35.0,23.0,6.04,NZ,1613080955.0
butembo,0.15,29.2833,62.87,65.0,90.0,2.95,CD,1613080955.0
bara,10.3744,10.7288,73.49,19.0,0.0,7.74,NG,1613080955.0
anloga,5.7947,0.8973,84.2,84.0,20.0,11.5,GH,1613080955.0
moree,-29.4667,149.85,73.4,60.0,71.0,23.02,AU,1613080956.0
pangody,65.85,74.4859,-33.2,84.0,62.0,5.3,RU,1613080956.0
loughrea,53.1969,-8.5669,37.4,81.0,75.0,12.66,IE,1613080956.0
guican,6.4618,-72.4113,56.75,70.0,76.0,3.62,CO,1613080956.0
sciacca,37.5082,13.0881,50.0,92.0,77.0,1.99,IT,1613080956.0
nohfelden,49.5869,7.1428,23.0,89.0,12.0,5.01,DE,1613080956.0
polignano a mare,40.9959,17.2159,51.01,81.0,40.0,9.22,IT,1613080957.0
nishihara,26.1842,127.7558,66.2,77.0,75.0,20.71,JP,1613080957.0
nantucket,41.2835,-70.0995,28.4,64.0,75.0,9.22,US,1613080782.0
bani,18.2833,-70.3333,80.01,88.0,75.0,12.15,DO,1613080848.0
chulumani,-16.4096,-67.5263,67.19,78.0,100.0,3.0,BO,1613080958.0
masterton,-40.9597,175.6575,64.0,73.0,23.0,5.01,NZ,1613080963.0
le port,-20.9373,55.2919,78.8,73.0,75.0,13.8,RE,1613080963.0
esperance,-33.8667,121.9,59.0,67.0,90.0,2.3,AU,1613080964.0
aksu,41.1231,80.2644,29.61,90.0,3.0,1.36,CN,1613080964.0
saurimo,-9.6608,20.3916,66.69,96.0,100.0,3.65,AO,1613080964.0
cap malheureux,-19.9842,57.6142,80.01,70.0,96.0,4.0,MU,1613080964.0
ust-nera,64.5667,143.2,2.43,82.0,100.0,0.69,RU,1613080964.0
kloulklubed,7.0419,134.2556,78.8,94.0,75.0,4.61,PW,1613080708.0
tautira,-17.7333,-149.15,86.0,58.0,75.0,3.44,PF,1613080964.0
marawi,7.9986,124.2928,73.99,90.0,59.0,5.01,PH,1613080965.0
suihua,46.6406,126.9969,25.05,98.0,11.0,9.35,CN,1613080965.0
perelyub,51.8667,50.3667,33.64,97.0,100.0,5.66,RU,1613080684.0
tokur,53.1333,132.9,4.19,92.0,100.0,3.76,RU,1613080965.0
kuytun,54.3419,101.5036,-9.63,90.0,99.0,7.58,RU,1613080965.0
tosya,41.0155,34.0401,46.83,55.0,80.0,2.48,TR,1613080965.0
swellendam,-34.0226,20.4417,71.6,88.0,98.0,4.61,ZA,1613080965.0
humen,22.819,113.6731,61.0,77.0,0.0,6.71,CN,1613080950.0
san isidro,-12.1167,-77.05,78.8,61.0,0.0,14.97,PE,1613080966.0
bethel,41.3712,-73.414,27.0,60.0,99.0,4.79,US,1613080702.0
enniskerry,53.1925,-6.1692,36.0,74.0,100.0,8.01,IE,1613080966.0
boyolangu,-8.1181,111.8935,74.1,86.0,74.0,0.4,ID,1613080967.0
menomonie,44.8755,-91.9193,0.0,50.0,1.0,7.49,US,1613080802.0
manado,1.487,124.8455,75.2,94.0,20.0,2.3,ID,1613080967.0
hobyo,5.3505,48.5268,76.33,79.0,100.0,17.25,SO,1613080967.0
orito,0.6766,-76.8771,82.4,74.0,0.0,3.44,CO,1613080967.0
dukat,62.55,155.55,-8.54,89.0,2.0,4.18,RU,1613080967.0
port-gentil,-0.7193,8.7815,84.2,84.0,40.0,9.22,GA,1613080967.0
kati,12.7441,-8.0726,82.4,17.0,0.0,5.75,ML,1613080968.0
sao felix do xingu,-6.6447,-51.995,76.55,88.0,75.0,1.39,BR,1613080849.0
te anau,-45.4167,167.7167,54.18,61.0,14.0,0.87,NZ,1613080856.0
lodja,-3.4833,23.4333,73.15,88.0,100.0,1.3,CD,1613080968.0
jhinjhak,26.5667,79.7333,56.88,54.0,10.0,2.95,IN,1613080969.0
gangoh,29.7667,77.25,55.53,56.0,100.0,5.88,IN,1613080969.0
manjacaze,-24.7117,33.8828,76.44,89.0,99.0,13.02,MZ,1613080969.0
strezhevoy,60.7333,77.5889,-16.6,83.0,0.0,6.71,RU,1613080969.0
mango,27.9797,-82.3065,81.0,57.0,90.0,10.36,US,1613080969.0
honiara,-9.4333,159.95,78.55,86.0,100.0,5.32,SB,1613080969.0
sobolevo,54.4299,31.8996,7.07,94.0,100.0,15.43,RU,1613080969.0
omaruru,-21.4333,15.9333,66.34,87.0,100.0,11.41,NA,1613080970.0
ketchikan,55.3422,-131.6461,21.2,35.0,1.0,13.8,US,1613080970.0
langres,47.8333,5.3333,24.8,68.0,0.0,9.22,FR,1613080970.0
pangnirtung,66.1451,-65.7125,-4.0,84.0,90.0,14.97,CA,1613080970.0
chowchilla,37.123,-120.2602,64.4,55.0,1.0,0.51,US,1613080970.0
general pico,-35.6566,-63.7568,88.03,24.0,24.0,8.1,AR,1613080883.0
kruisfontein,-34.0033,24.7314,75.0,86.0,100.0,1.99,ZA,1613080970.0
gat,31.61,34.7642,55.99,87.0,0.0,5.75,IL,1613080971.0
akyab,20.15,92.9,63.16,63.0,50.0,7.11,MM,1613080971.0
lotoshino,56.2267,35.6414,2.14,93.0,100.0,8.19,RU,1613080971.0
turukhansk,65.8167,87.9833,-24.39,82.0,4.0,4.54,RU,1613080976.0
aksarka,66.5606,67.7975,-26.23,82.0,37.0,2.44,RU,1613080976.0
ternate,0.8,127.4,81.01,81.0,73.0,5.08,ID,1613080976.0
saquarema,-22.92,-42.5103,77.0,94.0,75.0,8.05,BR,1613080920.0
saintes,45.6667,-0.75,42.8,87.0,90.0,5.75,FR,1613080977.0
brooks,50.5834,-111.8851,-14.01,58.0,100.0,13.8,CA,1613080806.0
jalu,29.0331,21.5482,57.87,40.0,0.0,9.69,LY,1613080977.0
marang,5.2056,103.2059,78.8,83.0,40.0,5.75,MY,1613080977.0
buchanan,5.8808,-10.0467,79.83,87.0,36.0,7.18,LR,1613080977.0
homer,59.6425,-151.5483,35.6,87.0,90.0,20.71,US,1613080705.0
coihaique,-45.5752,-72.0662,66.2,27.0,0.0,24.16,CL,1613080978.0
tabuk,17.4189,121.4443,69.49,92.0,81.0,5.86,PH,1613080978.0
toba,34.4833,136.85,43.0,71.0,100.0,1.01,JP,1613080919.0
birjand,32.8663,59.2211,48.2,25.0,0.0,11.5,IR,1613080978.0
las vegas,36.175,-115.1372,71.01,22.0,1.0,4.61,US,1613080845.0
jardim,-21.4803,-56.1381,74.64,85.0,100.0,3.09,BR,1613080881.0
dharchula,29.85,80.5333,51.84,36.0,86.0,6.4,IN,1613080978.0
carupano,10.6678,-63.2585,76.64,79.0,68.0,13.76,VE,1613080979.0
atar,20.5169,-13.0499,68.07,20.0,0.0,8.5,MR,1613080979.0
fortuna,40.5982,-124.1573,52.0,100.0,75.0,12.66,US,1613080948.0
bilibino,68.0546,166.4372,-20.34,72.0,0.0,4.94,RU,1613080979.0
lima,-12.0432,-77.0282,78.8,61.0,0.0,14.97,PE,1613080868.0
garissa,-0.4536,39.6401,78.06,65.0,84.0,12.41,KE,1613080963.0
sosnogorsk,63.6023,53.8817,-12.55,88.0,82.0,2.28,RU,1613080979.0
atambua,-9.1061,124.8925,74.43,87.0,95.0,1.83,ID,1613080980.0
colac,-38.3333,143.5833,59.0,15.0,42.0,4.0,AU,1613080980.0
kavaratti,10.5669,72.642,81.37,56.0,7.0,5.97,IN,1613080980.0
nalut,30.3333,10.85,57.09,39.0,0.0,10.56,LY,1613080980.0
maceio,-9.6658,-35.7353,77.0,83.0,0.0,5.75,BR,1613080980.0
harare,-17.8294,31.0539,64.0,83.0,91.0,3.0,ZW,1613080777.0
pisco,-13.7,-76.2167,77.0,73.0,0.0,9.22,PE,1613080982.0
bella vista,36.4295,-94.2316,21.2,93.0,90.0,5.75,US,1613080982.0
kidal,18.4411,1.4078,74.46,16.0,0.0,10.45,ML,1613080982.0
koutiala,12.3917,-5.4642,82.38,14.0,8.0,8.57,ML,1613080982.0
listowel,52.4464,-9.485,37.4,81.0,75.0,12.66,IE,1613080807.0
buin,-33.7333,-70.75,75.0,60.0,40.0,8.05,CL,1613080983.0
valdivia,-39.8142,-73.2459,78.8,50.0,54.0,10.36,CL,1613080983.0
bayshore gardens,27.4253,-82.5904,80.01,73.0,1.0,13.8,US,1613080983.0
cockburn town,21.4612,-71.1419,78.8,65.0,40.0,13.8,TC,1613080792.0
loa janan,-0.583,117.095,74.05,96.0,94.0,0.74,ID,1613080983.0
witu,-2.3889,40.4382,78.8,78.0,75.0,6.91,KE,1613080983.0
tynda,55.1667,124.7167,14.29,95.0,100.0,11.36,RU,1613080984.0
malindi,-3.2175,40.1191,78.04,83.0,74.0,11.3,KE,1613080985.0
nanortalik,60.1432,-45.2371,28.02,89.0,100.0,12.26,GL,1613080985.0
mantenopolis,-18.8625,-41.1228,71.29,92.0,58.0,6.24,BR,1613080985.0
kupino,54.3663,77.2981,-28.08,84.0,3.0,5.75,RU,1613080990.0
waipawa,-41.4122,175.5153,64.99,94.0,90.0,16.11,NZ,1613080991.0
kondinskoye,59.6481,67.41,-23.22,87.0,0.0,2.46,RU,1613080991.0
mattru,7.6244,-11.8332,77.74,81.0,44.0,3.67,SL,1613080991.0
suksun,57.1431,57.3949,-7.6,89.0,61.0,5.7,RU,1613080991.0
rocky mountain house,52.3668,-114.9188,-11.2,53.0,100.0,13.8,CA,1613080991.0
broken hill,-31.95,141.4333,78.8,41.0,90.0,12.66,AU,1613080704.0
ardakan,32.31,54.0175,53.6,26.0,0.0,6.91,IR,1613080992.0
bad freienwalde,52.7873,14.0304,19.0,71.0,17.0,5.88,DE,1613080992.0
sibu,2.3,111.8167,75.2,94.0,40.0,2.3,MY,1613080992.0
bobbili,18.5667,83.3667,64.8,86.0,72.0,2.53,IN,1613080992.0
okha,53.5739,142.9478,12.63,97.0,80.0,6.22,RU,1613080992.0
wanaka,-44.7,169.15,56.97,59.0,1.0,2.48,NZ,1613080771.0
petropavlovsk-kamchatskiy,53.0452,158.6483,12.2,79.0,73.0,6.71,RU,1613080755.0
kanigoro,-8.13,112.219,72.57,90.0,79.0,2.44,ID,1613080993.0
alta floresta,-9.8756,-56.0861,75.9,94.0,100.0,1.72,BR,1613080720.0
kieta,-6.2167,155.6333,81.75,74.0,100.0,4.0,PG,1613080830.0
lavrentiya,65.5833,-171.0,-23.57,81.0,0.0,11.03,RU,1613080993.0
andujar,38.0392,-4.0508,57.99,78.0,98.0,3.31,ES,1613080994.0
sorland,67.667,12.6934,33.8,60.0,75.0,28.77,NO,1613080994.0
nouadhibou,20.931,-17.0347,71.6,49.0,0.0,18.41,MR,1613080994.0
mount isa,-20.7333,139.5,82.4,74.0,89.0,6.91,AU,1613080858.0
conakry,9.538,-13.6773,82.4,69.0,64.0,6.91,GN,1613080994.0
cooma,-36.2333,149.1333,69.8,49.0,90.0,14.97,AU,1613080994.0
boa vista,2.8197,-60.6733,87.8,48.0,40.0,6.91,BR,1613080995.0
winfield,37.2398,-96.9956,18.0,73.0,90.0,11.5,US,1613080995.0
pangai,-19.8,-174.35,84.2,89.0,40.0,5.75,TO,1613080995.0
pemangkat,1.1667,108.9667,75.6,91.0,100.0,7.96,ID,1613080995.0
tocopilla,-22.092,-70.1979,72.5,58.0,0.0,4.03,CL,1613080995.0
lakatoro,-16.0999,167.4164,83.68,69.0,53.0,3.33,VU,1613080995.0
chaozhou,23.6651,116.6379,57.2,94.0,75.0,4.47,CN,1613080996.0
ribeira brava,32.65,-17.0667,59.0,86.0,69.0,4.0,PT,1613080996.0
vila franca do campo,37.7167,-25.4333,61.0,82.0,40.0,20.71,PT,1613080996.0
port blair,11.6667,92.75,77.52,71.0,24.0,7.81,IN,1613080996.0
shimoda,34.6667,138.95,39.0,80.0,100.0,8.21,JP,1613080996.0
auki,-8.7676,160.7034,81.59,82.0,100.0,9.75,SB,1613080996.0
wakkanai,45.4094,141.6739,28.89,92.0,100.0,9.35,JP,1613080972.0
ambunti,-4.2365,142.8448,74.75,97.0,100.0,1.01,PG,1613080997.0
college,64.8569,-147.8028,17.01,67.0,75.0,2.1,US,1613080997.0
qianguo,45.1171,124.8568,27.36,96.0,7.0,12.24,CN,1613080997.0
bousso,10.4795,16.7117,73.15,18.0,3.0,5.44,TD,1613080997.0
yeppoon,-23.1333,150.7333,77.0,65.0,27.0,2.3,AU,1613080997.0
san remo,43.8182,7.7612,50.0,87.0,20.0,14.97,IT,1613080998.0
barra do corda,-5.5,-45.25,76.95,92.0,98.0,2.75,BR,1613080998.0
oranjemund,-28.55,16.4333,66.25,83.0,75.0,7.14,NA,1613080998.0
xifeng,42.7372,124.7222,29.48,94.0,76.0,6.46,CN,1613080998.0
carlisle,40.2015,-77.1889,30.0,76.0,100.0,8.63,US,1613080998.0
mangrol,21.1167,70.1167,69.28,42.0,23.0,7.65,IN,1613080999.0
tshane,-24.0196,21.8684,74.41,56.0,73.0,7.14,BW,1613081004.0
maryville,35.7565,-83.9705,45.0,93.0,90.0,6.91,US,1613081004.0
mildura,-34.2,142.15,66.2,77.0,90.0,12.66,AU,1613081004.0
manacapuru,-3.2997,-60.6206,77.0,94.0,75.0,8.05,BR,1613080888.0
sao miguel do araguaia,-13.275,-50.1628,77.22,81.0,75.0,1.63,BR,1613081004.0
